Rank,Country,Name,1 event,2 event,3 event,4 event,5 event,6 event,7 event,8 event,Total Points
1,United States,Caitlin Simmers,10000.0,4745.0,2610.0,10000.0,4745.0,2610.0,6085.0,10000.0,48185.0
2,United States,Caroline Marks,4745.0,6085.0,4745.0,6085.0,2610.0,6085.0,10000.0,4745.0,42490.0
3,Costa Rica,Brisa Hennessy,6085.0,6085.0,1045.0,6085.0,6085.0,7800.0,4745.0,4745.0,41630.0
4,Australia,Molly Picklum,7800.0,10000.0,2610.0,2610.0,4745.0,4745.0,4745.0,4745.0,39390.0
5,Hawaii,Gabriela Bryan,2610.0,2610.0,4745.0,4745.0,10000.0,2610.0,7800.0,6085.0,38595.0
6,France,Johanne Defay,4745.0,4745.0,10000.0,7800.0,2610.0,2610.0,4745.0,2610.0,37255.0
7,Brazil,Tatiana Weston-Webb,4745.0,2610.0,6085.0,4745.0,2610.0,6085.0,4745.0,6085.0,35100.0
8,United States,Sawyer Lindblad,2610.0,2610.0,2610.0,4745.0,7800.0,4745.0,2610.0,7800.0,32920.0
9,Hawaii,Bettylou Sakura Johnson,6085.0,7800.0,4745.0,2610.0,2610.0,2610.0,6085.0,2610.0,32545.0
10,Australia,Tyler Wright,2610.0,2610.0,7800.0,2610.0,6085.0,4745.0,2610.0,1045.0,27505.0
11,United States,Lakey Peterson,1045.0,4745.0,6085.0,2610.0,2610.0,0.0,0.0,0.0,16050.0
12,Brazil,Luana Silva,4745.0,2610.0,4745.0,2610.0,1045.0,0.0,0.0,0.0,14710.0
13,Australia,Sally Fitzgibbons,2610.0,2610.0,2610.0,2610.0,4745.0,0.0,0.0,0.0,12575.0
14,Australia,Isabella Nichols,2610.0,4745.0,2610.0,2610.0,2610.0,0.0,0.0,0.0,12575.0
15,Australia,India Robinson,2610.0,2610.0,2610.0,1045.0,4745.0,0.0,0.0,0.0,12575.0
16,United States,Alyssa Spencer,2610.0,2610.0,2610.0,1045.0,2610.0,0.0,0.0,0.0,10440.0
17,Australia,Sophie McCulloch,0.0,1045.0,2610.0,2610.0,2610.0,0.0,0.0,0.0,8875.0
18,Hawaii,Carissa Moore,1045.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1045.0
